RAW,SOM,OC,IS,DEP,ANX,HOS,PHOB,PAR,PSY
0.02,32.0,31.0,32.0,33.0,35.0,35.0,42.0,35.0,37.0
0.06,35.0,34.0,35.0,39.0,39.0,38.0,49.0,39.0,41.0
0.1,39.0,37.0,38.0,41.0,42.0,38.0,49.0,39.0,43.0
0.14,42.0,39.0,39.0,42.0,44.0,38.0,51.0,39.0,45.0
0.18,44.0,41.0,39.0,44.0,46.0,41.0,53.0,41.0,47.0
0.22,45.0,42.0,41.0,45.0,47.0,43.0,53.0,43.0,48.0
0.26,47.0,42.0,43.0,46.0,48.0,43.0,53.0,43.0,48.0
0.3,49.0,43.0,43.0,48.0,49.0,43.0,55.0,43.0,49.0
0.34,50.0,45.0,44.0,49.0,50.0,45.0,56.0,45.0,50.0
0.38,51.0,46.0,46.0,50.0,51.0,47.0,57.0,46.0,51.0
0.42,52.0,47.0,46.0,51.0,52.0,47.0,57.0,46.0,53.0
0.46,53.0,47.0,47.0,51.0,52.0,47.0,58.0,46.0,53.0
0.5,53.0,48.0,48.0,52.0,53.0,48.0,58.0,48.0,54.0
0.54,54.0,48.0,49.0,52.0,54.0,49.0,58.0,49.0,54.0
0.58,55.0,49.0,50.0,53.0,55.0,49.0,59.0,49.0,55.0
0.62,55.0,50.0,50.0,53.0,55.0,50.0,61.0,50.0,56.0
0.66,56.0,50.0,51.0,54.0,56.0,51.0,61.0,51.0,56.0
0.7,57.0,51.0,52.0,54.0,56.0,52.0,61.0,52.0,56.0
0.74,57.0,51.0,52.0,55.0,57.0,52.0,62.0,52.0,57.0
0.78,58.0,52.0,53.0,55.0,57.0,52.0,62.0,52.0,57.0
0.83,59.0,52.0,53.0,56.0,58.0,53.0,62.0,53.0,58.0
0.87,59.0,52.0,54.0,56.0,58.0,54.0,62.0,55.0,58.0
0.91,60.0,54.0,54.0,57.0,59.0,54.0,62.0,55.0,59.0
0.95,60.0,55.0,55.0,58.0,59.0,54.0,62.0,55.0,59.0
0.99,61.0,55.0,56.0,58.0,60.0,55.0,63.0,56.0,60.0
1.03,62.0,56.0,56.0,59.0,61.0,55.0,65.0,57.0,60.0
1.07,62.0,56.0,56.0,59.0,61.0,55.0,65.0,57.0,60.0
1.11,63.0,57.0,57.0,60.0,61.0,55.0,65.0,57.0,61.0
1.15,63.0,57.0,58.0,60.0,61.0,56.0,65.0,58.0,62.0
1.19,63.0,58.0,58.0,61.0,61.0,57.0,66.0,58.0,62.0
1.23,63.0,58.0,58.0,61.0,61.0,57.0,66.0,58.0,63.0
1.27,63.0,58.0,59.0,62.0,61.0,57.0,66.0,58.0,63.0
1.31,63.0,59.0,59.0,62.0,62.0,57.0,67.0,58.0,63.0
1.35,64.0,60.0,59.0,62.0,62.0,57.0,67.0,59.0,64.0
1.39,64.0,60.0,60.0,63.0,62.0,58.0,67.0,59.0,64.0
1.43,64.0,61.0,60.0,63.0,63.0,58.0,67.0,59.0,64.0
1.47,65.0,61.0,61.0,64.0,63.0,58.0,67.0,59.0,64.0
1.51,65.0,61.0,61.0,65.0,63.0,59.0,67.0,60.0,65.0
1.55,65.0,62.0,61.0,65.0,64.0,60.0,67.0,61.0,65.0
1.59,66.0,62.0,62.0,65.0,65.0,60.0,68.0,61.0,65.0
1.63,67.0,63.0,62.0,65.0,65.0,60.0,68.0,62.0,66.0
1.67,67.0,63.0,63.0,65.0,65.0,60.0,68.0,62.0,66.0
1.71,67.0,63.0,63.0,66.0,66.0,61.0,69.0,62.0,66.0
1.75,68.0,63.0,63.0,67.0,67.0,61.0,69.0,62.0,66.0
1.79,68.0,64.0,64.0,67.0,67.0,61.0,69.0,62.0,67.0
1.83,68.0,65.0,64.0,68.0,68.0,61.0,69.0,63.0,67.0
1.87,68.0,65.0,65.0,68.0,68.0,62.0,69.0,64.0,67.0
1.91,68.0,65.0,66.0,69.0,68.0,62.0,69.0,64.0,67.0
1.95,69.0,65.0,66.0,69.0,68.0,62.0,69.0,64.0,68.0
1.99,69.0,65.0,66.0,69.0,69.0,62.0,69.0,65.0,68.0
2.03,70.0,66.0,67.0,69.0,69.0,63.0,70.0,66.0,68.0
2.07,70.0,66.0,67.0,70.0,69.0,63.0,70.0,66.0,68.0
2.11,71.0,67.0,67.0,70.0,70.0,63.0,70.0,66.0,68.0
2.15,71.0,67.0,68.0,71.0,71.0,63.0,70.0,67.0,68.0
2.19,71.0,68.0,68.0,71.0,71.0,63.0,70.0,67.0,68.0
2.23,71.0,68.0,68.0,71.0,71.0,64.0,70.0,67.0,68.0
2.27,71.0,68.0,69.0,72.0,72.0,64.0,71.0,67.0,68.0
2.31,71.0,68.0,69.0,72.0,72.0,64.0,71.0,67.0,68.0
2.35,72.0,68.0,70.0,72.0,72.0,65.0,71.0,68.0,68.0
2.39,73.0,69.0,70.0,72.0,72.0,65.0,71.0,68.0,69.0
2.44,73.0,69.0,71.0,73.0,73.0,65.0,71.0,68.0,70.0
2.48,73.0,70.0,71.0,73.0,73.0,65.0,72.0,68.0,70.0
2.52,73.0,70.0,72.0,73.0,73.0,65.0,73.0,69.0,71.0
2.56,74.0,70.0,73.0,73.0,74.0,65.0,74.0,70.0,73.0
2.6,74.0,71.0,74.0,73.0,74.0,65.0,74.0,70.0,73.0
2.64,75.0,72.0,74.0,73.0,75.0,65.0,74.0,70.0,74.0
2.68,75.0,72.0,74.0,74.0,75.0,66.0,74.0,70.0,74.0
2.72,75.0,72.0,74.0,75.0,76.0,67.0,74.0,70.0,74.0
2.76,75.0,73.0,74.0,75.0,77.0,67.0,75.0,70.0,76.0
2.8,75.0,74.0,74.0,75.0,77.0,67.0,76.0,70.0,77.0
2.84,75.0,75.0,75.0,75.0,77.0,67.0,77.0,71.0,77.0
2.88,75.0,75.0,75.0,75.0,77.0,68.0,77.0,73.0,77.0
2.92,75.0,75.0,75.0,76.0,77.0,68.0,77.0,73.0,77.0
2.96,75.0,75.0,75.0,77.0,77.0,68.0,77.0,73.0,77.0
3.0,75.0,75.0,75.0,77.0,77.0,69.0,77.0,73.0,77.0
3.04,75.0,75.0,75.0,77.0,77.0,69.0,77.0,74.0,77.0
3.08,75.0,75.0,75.0,77.0,77.0,69.0,77.0,74.0,77.0
3.12,75.0,75.0,76.0,77.0,77.0,69.0,77.0,74.0,77.0
3.16,75.0,75.0,77.0,77.0,77.0,69.0,80.0,74.0,77.0
3.2,75.0,77.0,77.0,77.0,77.0,70.0,80.0,74.0,77.0
3.24,75.0,77.0,77.0,77.0,77.0,70.0,80.0,74.0,77.0
3.28,75.0,77.0,77.0,77.0,77.0,70.0,80.0,74.0,80.0
3.32,75.0,77.0,77.0,77.0,77.0,70.0,80.0,74.0,80.0
3.36,75.0,77.0,77.0,77.0,77.0,71.0,80.0,75.0,80.0
3.4,75.0,77.0,77.0,77.0,77.0,72.0,80.0,75.0,80.0
3.44,75.0,77.0,77.0,77.0,77.0,73.0,80.0,75.0,80.0
3.48,76.0,77.0,77.0,77.0,77.0,73.0,80.0,75.0,80.0
3.52,77.0,77.0,77.0,80.0,77.0,74.0,80.0,75.0,80.0
3.56,77.0,77.0,80.0,80.0,77.0,74.0,80.0,75.0,80.0
3.6,77.0,77.0,80.0,80.0,77.0,74.0,80.0,75.0,80.0
3.64,77.0,77.0,80.0,80.0,77.0,74.0,80.0,75.0,80.0
3.68,77.0,77.0,80.0,80.0,80.0,74.0,80.0,76.0,80.0
3.72,77.0,77.0,80.0,80.0,80.0,75.0,80.0,77.0,80.0
3.76,80.0,77.0,80.0,80.0,80.0,75.0,80.0,77.0,80.0
3.8,80.0,77.0,80.0,80.0,80.0,75.0,80.0,77.0,80.0
3.84,80.0,77.0,80.0,80.0,80.0,77.0,80.0,80.0,80.0
3.88,80.0,77.0,80.0,80.0,80.0,77.0,80.0,80.0,80.0
3.92,80.0,77.0,80.0,80.0,80.0,77.0,80.0,80.0,80.0
3.96,80.0,77.0,80.0,80.0,80.0,77.0,80.0,80.0,80.0
4.0,80.0,77.0,80.0,80.0,80.0,77.0,80.0,80.0,80.0
